,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GOALS FOR BLOCK ONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1. Maximize strength in big compound lifts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2. Drive hypertrophy through high RoM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3. Build work capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WEEK 1,,,,,,,WEEK 2,,,,,,WEEK 3,,,,,,WEEK 4,,,,,,WEEK 5,,,,,,WEEK 6,,,,
,Day 1 - Squat focused lower body,Sets,Reps,Load,RPE,Notes,,Day 1 - Squat focused lower body,Sets,Reps,Load,Notes,,Day 1 - Squat focused lower body,Sets,Reps,Load,Notes,,Day 1 - Squat focused lower body,Sets,Reps,Load,Notes,,Day 1 - Squat focused lower body,Sets,Reps,Load,Notes,,Day 1 - Squat focused lower body,Sets,Reps,Load,Notes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deep paused front squat,5,8,,8,1s pause in the hole,,Deep paused front squat,5,5,0,,,Deep paused front squat,5,5,0,,,Deep paused front squat,5,5,0,,,Deep paused front squat,5,5,0,,,Deep paused front squat,3,5,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Low handle trap bar deadlift,4,6,,8,,,Low handle trap bar deadlift,4,3,0,,,Low handle trap bar deadlift,4,3,0,,,Low handle trap bar deadlift,4,3,0,,,Low handle trap bar deadlift,4,3,0,,,Low handle trap bar deadlift,2,3,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Walking lunge,4,10/side,,8,Long stride,,Walking lunge,3,8/side,2.5,,,Walking lunge,3,8/side,5,,,Walking lunge,3,8/side,7.5,,,Walking lunge,3,8/side,10,,,Walking lunge,2,8/side,7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hack squat,4,12,,9,focus on deep RoM,,Hack squat,3,8,0,,,Hack squat,3,8,0,,,Hack squat,3,8,0,,,Hack squat,3,8,0,,,Hack squat,2,8,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ab wheel,3,12,,BW,,,Ab wheel,3,14,,,,Ab wheel,3,16,,,,Ab wheel,3,18,,,,Ab wheel,3,20,,,,Ab wheel,2,12,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Day 2 - Pressing,Sets,Reps,Load,RPE,Notes,,Day 2 - Pressing,Sets,Reps,Load,Notes,,Day 2 - Pressing,Sets,Reps,Load,Notes,,Day 2 - Pressing,Sets,Reps,Load,Notes,,Day 2 - Pressing,Sets,Reps,Load,Notes,,Day 2 - Pressing,Sets,Reps,Load,Notes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bench press,5,8,,8,,,Bench press,5,5,0,,,Bench press,5,5,0,,,Bench press,5,5,0,,,Bench press,5,5,0,,,Bench press,3,5,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
